topic,top_terms
T1,"attack, org, mitre org, attack mitre, https attack, https, mitre, org software, citation, software, org groups, groups"
T2,"standard detection, exists technique, method currently, currently exists, detection method, currently, exists, method, standard, detection, technique, easily"
T3,"adversaries, control, devices, adversary, systems, access, environment, citation, device, techniques, process, network"
T4,"communications, help, blocked, technique used, loss, technique, alarms, identify loss, help identify, loss communications, monitor, indicate"
T5,"program, management, alarms, monitor, monitor device, devices produce, produce, program download, download, logs, devices, device"
T6,"monitor, network, files, file, traffic, executed, windows, changes, data, user, arguments, suspicious"
