scenario,description,runs,p_reach_ot,ci_ot_low,ci_ot_high,p_reach_critical,ci_crit_low,ci_crit_high,mean_assets_compromised,p95_assets_compromised,median_steps_to_ot,abs_reduction_ot,rel_reduction_ot
S0_baseline,current controls as described in the asset inventory,5000,0.5406,0.5267605713847682,0.5543770889280603,0.539,0.5251582623580289,0.55278185469124,29.5984,84.0,1.0,0.0,0.0
S1_segmentation,IT-OT to OT traffic restricted to approved flows,5000,0.3438,0.33075878357815475,0.3570810553168255,0.3158,0.3030610538753029,0.328821777907382,18.4774,60.0,2.0,0.19679999999999997,0.36403995560488345
S2_strong_auth,MFA enforced for every remote and privileged session,5000,0.1904,0.17975649268997654,0.2015188858112135,0.1892,0.17858368916999193,0.20029353188352825,10.1176,61.0,1.0,0.35019999999999996,0.6477987421383647
S3_monitoring,detection and isolation of a compromised host after 2 steps,5000,0.5096,0.4957412098379929,0.5234440497433658,0.4976,0.48374803023713775,0.5114556548675228,18.0454,54.0,1.0,0.030999999999999917,0.05734369219385852
S4_combined,all three control packages together,5000,0.1004,0.09237399550187989,0.10903957442407461,0.0818,0.0745206475696005,0.08972148191747198,3.0042,21.0,2.0,0.4402,0.8142804291527932
